strain,collection-date,country,coverage
STMB,2017,USA,61.75086505
ST71,2017,USA,47.26696833
ST86,2017,USA,20.97923875
ST90,2017,USA,153.5592228
ST97,2017,USA,54.71759382
ST103,2017,USA,161.7547245
ST104,2017,USA,388.1837903
ST107,2017,USA,72.85932925
ST109,2017,USA,574.9800373
ST110,2017,USA,20.23928666
ST111,2017,USA,76.92973117
ST114,2017,USA,31.84988022
ST134,2017,USA,616.9196167
ST136,2017,USA,191.6966995
ST152,2017,USA,399.5644131
ST155,2017,USA,508.299308
ST156,2017,USA,2738.952755
ST161,2017,USA,307.5586904
ST165,2017,USA,47.39832313
ST166,2017,USA,1142.51424
ST173,2017,USA,133.3116849
ST251,2017,USA,487.7547245
ST254,2017,USA,342.8066276
ST256,2017,USA,102.1650253
ST283,2017,USA,3949.055097
ST287,2017,USA,13.16502529
ST295,2017,USA,152.7647059
ST305,2017,USA,1092.965531
ST322,2017,USA,25.23835507
ST342,2017,USA,34.45581581
ST347,2017,USA,46.86944371
ST368,2017,USA,75.29944104
ST374,2017,USA,26.30103806
ST420,2017,USA,1035.96074
ST435,2017,USA,192.5837104
ST466,2017,USA,5781.076923
ST480,2017,USA,129.0863721
ST545,2017,USA,720.296247
ST680,2017,USA,1372.053766
ST709,2017,USA,8887.650519
EU627591,2016,USA,42
KF878965,2016,USA,42
AF086833,2016,USA,42
NC_004718,2016,USA,42
KP719933,2016,USA,42
KF514433,2016,USA,42
WNFCG,2016,USA,42
MF797870,2016,USA,42
HIVHXB2CG,2016,USA,42
AF069671,2016,USA,42
AY445524,2016,USA,42
HPA,2016,USA,42
DQ278891,2016,USA,42
AB775201,2016,USA,42
NC_001434,2016,USA,42
KF039737,2016,USA,42
NC_001430,2016,USA,42
NC_001699,2016,USA,42
NC_001538,2016,USA,42
AF212302,2016,USA,42
AY029768,2016,USA,42
AB195968,2016,USA,42
AB195967,2016,USA,42
KX83946,2016,USA,42
AF266288,2016,USA,42
KY996511,2016,USA,42
KF170919,2016,USA,42
KY674972,2016,USA,42
AF457102,2016,USA,42
KF530250,2016,USA,42
KX838946,2016,USA,42
